Date,Open,High,Low,Close,Adj Close,Volume
2014-10-21,46.889999,48.130001,46.889999,47.380001,44.050629,1845900
2014-10-22,47.639999,47.840000,46.689999,46.770000,43.483501,1727700
2014-10-23,48.270000,50.410000,48.119999,49.950001,46.440033,3616400
2014-10-24,49.209999,50.259998,48.950001,50.200001,46.672478,1909800
2014-10-27,50.310001,51.919998,50.099998,51.820000,48.178642,2342300
2014-10-28,52.060001,53.080002,51.599998,52.790001,49.080479,2152800
2014-10-29,52.730000,53.040001,51.720001,52.910000,49.192043,1559300
2014-10-30,51.959999,52.619999,51.590000,52.139999,48.476158,1598700
2014-10-31,53.200001,53.799999,52.820000,53.230000,49.489563,1501000
2014-11-03,53.220001,54.480000,53.110001,54.430000,50.605240,1825400
2014-11-04,54.740002,55.919998,54.680000,55.389999,51.497780,1492100
2014-11-05,55.970001,55.990002,53.860001,53.970001,50.177559,1883000
2014-11-06,54.650002,55.750000,54.439999,55.400002,51.507069,1219000
2014-11-07,55.400002,55.959999,54.900002,55.139999,51.265350,1175300
2014-11-10,55.049999,56.400002,54.709999,56.320000,52.362423,1028400
2014-11-11,56.500000,56.820000,55.799999,56.139999,52.195072,770900
2014-11-12,55.869999,56.240002,55.240002,56.169998,52.222965,879600
2014-11-13,56.340000,56.939999,55.880001,56.240002,52.288048,1062800
2014-11-14,56.009998,56.250000,55.299999,55.340000,51.565899,1244000
2014-11-17,55.220001,55.730000,54.669998,54.860001,51.118637,1529400
2014-11-18,54.910000,56.160000,54.889999,55.860001,52.050442,1186700
2014-11-19,55.500000,55.750000,54.580002,54.799999,51.062725,1669900
2014-11-20,54.349998,54.910000,53.689999,54.240002,50.540916,1321900
2014-11-21,54.610001,54.709999,53.310001,54.500000,50.783184,1253300
2014-11-24,54.930000,55.580002,54.799999,55.330002,51.556583,1015100
2014-11-25,55.099998,56.139999,55.020000,55.910000,52.097031,1055600
2014-11-26,56.000000,56.439999,55.849998,56.200001,52.367237,740000
2014-11-28,58.110001,59.970001,58.020000,59.029999,55.004250,1212300
2014-12-01,58.529999,58.540001,55.330002,55.410000,51.631126,2674600
2014-12-02,55.180000,56.209999,54.669998,55.250000,51.482040,2064200
2014-12-03,55.380001,56.830002,55.279999,56.759998,52.889061,1564200
2014-12-04,58.029999,58.759998,56.480000,56.740002,52.870419,2184800
2014-12-05,57.209999,57.939999,57.099998,57.259998,53.354961,1235000
2014-12-08,57.389999,58.250000,57.180000,57.439999,53.522678,1173800
2014-12-09,56.119999,56.500000,55.060001,56.400002,52.553616,1525700
2014-12-10,56.970001,57.450001,55.150002,55.189999,51.426128,1486300
2014-12-11,55.799999,56.139999,55.320000,55.970001,52.152927,1683800
2014-12-12,56.630001,56.980000,55.500000,55.810001,52.003841,1610200
2014-12-15,56.270000,58.000000,55.810001,57.650002,53.718361,1965900
2014-12-16,57.720001,57.939999,55.660000,55.680000,51.882713,2090700
2014-12-17,55.730000,56.549999,54.540001,56.029999,52.208839,1635700
2014-12-18,56.250000,56.619999,55.419998,56.340000,52.497700,1125300
2014-12-19,56.189999,56.630001,55.529999,56.160000,52.329975,1831800
2014-12-22,56.560001,57.750000,56.560001,56.730000,52.861103,767200
2014-12-23,57.230000,57.349998,56.419998,56.750000,52.879749,764600
2014-12-24,57.240002,58.840000,57.240002,58.720001,54.715374,629800
2014-12-26,58.750000,59.480000,58.560001,59.020000,54.994926,706300
2014-12-29,58.830002,59.950001,58.560001,59.730000,55.656509,839600
2014-12-30,59.740002,60.509998,59.470001,59.770000,55.693775,833700
2014-12-31,60.259998,60.939999,59.759998,59.759998,55.684460,902400
2015-01-02,60.540001,60.860001,59.470001,60.330002,56.215591,1199600
2015-01-05,60.810001,60.869999,59.189999,59.470001,55.414246,1288800
2015-01-06,59.779999,60.290001,57.709999,58.770000,54.761971,1511700
2015-01-07,59.060001,60.000000,58.810001,59.669998,55.600594,1039600
2015-01-08,60.000000,61.459999,59.689999,60.700001,56.560356,1697500
2015-01-09,60.650002,60.790001,59.709999,59.730000,55.656509,986900
2015-01-12,60.669998,61.130001,59.730000,60.610001,56.476498,1100000
2015-01-13,61.529999,62.990002,60.580002,61.410000,57.221931,1687200
2015-01-14,60.630001,62.000000,60.189999,61.540001,57.343075,1557200
2015-01-15,61.689999,62.099998,60.599998,61.470001,57.277847,1619300
2015-01-16,61.090000,62.419998,60.560001,62.349998,58.097824,1618600
2015-01-20,63.400002,64.809998,63.110001,64.599998,60.194386,1521200
2015-01-21,64.400002,65.199997,63.770000,64.980003,60.548454,2314800
2015-01-22,66.900002,68.000000,64.550003,67.940002,63.306595,2833200
2015-01-23,68.099998,69.900002,67.699997,68.650002,63.968178,1883200
2015-01-26,68.769997,70.510002,68.650002,70.440002,65.636108,2393900
2015-01-27,69.370003,70.779999,68.940002,69.699997,64.946571,1536800
2015-01-28,70.500000,70.550003,68.419998,68.699997,64.014755,1220500
2015-01-29,68.800003,71.400002,68.419998,71.070000,66.223137,1966000
2015-01-30,70.370003,70.870003,67.260002,67.870003,63.241386,2236800
2015-02-02,67.699997,68.000000,65.430000,67.320000,62.728878,2284100
2015-02-03,66.000000,66.389999,64.089996,65.180000,60.734837,2928500
2015-02-04,65.959999,67.199997,65.839996,66.699997,62.151165,1823000
2015-02-05,66.800003,66.940002,65.019997,66.820000,62.262985,1354300
2015-02-06,66.570000,66.940002,65.669998,65.919998,61.424358,1569300
2015-02-09,65.150002,65.150002,62.529999,63.509998,59.178726,2120500
2015-02-10,64.190002,65.489998,63.680000,65.370003,60.911865,1965200
2015-02-11,65.900002,66.430000,64.389999,64.510002,60.110527,1560900
2015-02-12,63.570000,63.590000,61.720001,62.750000,58.470551,2822200
2015-02-13,62.160000,62.599998,61.349998,62.560001,58.293510,1697700
2015-02-17,62.610001,63.349998,62.110001,62.230000,57.986004,1200800
2015-02-18,63.119999,63.880001,62.060001,63.830002,59.476898,1557300
2015-02-19,65.180000,65.180000,62.770000,62.939999,58.647591,2091000
2015-02-20,62.759998,64.150002,62.400002,64.139999,59.956272,1049600
2015-02-23,65.010002,65.040001,63.529999,64.139999,59.956272,1247900
2015-02-24,63.540001,64.519997,62.400002,64.430000,60.227356,1301500
2015-02-25,64.239998,64.680000,63.340000,63.439999,59.301926,1216400
2015-02-26,64.120003,64.199997,63.009998,63.980000,59.806717,1225400
2015-02-27,64.480003,64.599998,63.590000,63.650002,59.498238,1944400
2015-03-02,64.400002,65.529999,64.320000,65.440002,61.171486,1850400
2015-03-03,65.000000,66.199997,64.809998,66.160004,61.844517,1629000
2015-03-04,65.680000,66.010002,64.849998,65.769997,61.479942,1313800
2015-03-05,65.750000,65.970001,64.510002,64.639999,60.423656,1118400
2015-03-06,64.330002,64.639999,63.570000,63.730000,59.573002,948700
2015-03-09,63.720001,64.489998,63.570000,63.980000,59.806717,1004200
